"","scanIndex","msLevel","rtime","acquisitionNum","dataStorage","dataOrigin","centroided","smoothed","polarity","precScanNum","precursorMz","precursorIntensity","precursorCharge","collisionEnergy","isolationWindowLowerMz","isolationWindowTargetMz","isolationWindowUpperMz","TITLE","acquisitionNum.1","FEATURE","ENERGY","NUM_CLUSTERED","PRECURSOR_INTENSITY","target_msLevel","target_rtime","target_acquisitionNum","target_scanIndex","target_dataStorage","target_dataOrigin","target_centroided","target_smoothed","target_polarity","target_precScanNum","target_precursorMz","target_precursorIntensity","target_precursorCharge","target_collisionEnergy","target_isolationWindowLowerMz","target_isolationWindowTargetMz","target_isolationWindowUpperMz","target_accession","target_name","target_formula","target_inchikey","target_adduct","target_exactmass","target_comments","target_ion_mode","score","reverse_score","presence_ratio","matched_peaks_count","mz","rt","main_peak","annotations","clique","neutral_mass","num_detection","total_detection","mean_mz","min_mz","max_mz","mean_rt","min_rt","max_rt","mean_rt_cor","min_rt_cor","max_rt_cor","mean_height","min_height","max_height","mean_intensity","min_intensity","max_intensity","mean_SN","min_SN","max_SN","mean_peakwidth","min_peakwidth","max_peakwidth","ms2_id","num_clustered_ms2","isotopic_pattern_annot","raw_isotopic_pattern","scanIndex.1","intensity_blank.csv","intensity_QC_001.csv","intensity_QC_002.csv","intensity_QC_003.csv","intensity_QC_004.csv","intensity_QC_005.csv","intensity_TR1.csv","intensity_TR2.csv","intensity_TR3.csv","intensity_TR4.csv","intensity_TR5.csv","intensity_TR6.csv","intensity_TR7.csv","intensity_TR8.csv","intensity_TR9.csv","intensity_TR10.csv","intensity_TR11.csv","intensity_TR12.csv","intensity_TR13.csv","intensity_TR14.csv","intensity_TR15.csv","intensity_TR16.csv"
"2352",2116,2,6.88183333333333,NA,"<memory>","<memory>",TRUE,NA,NA,NA,232.1544,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 412.91; scanNum NA; scanIndex 0; precMz 232.1544; precCharge 1","2116","2227","35","195","5890.22679848843",2,0.0413333333333333,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,232.1553,NA,0,NA,NA,NA,NA,NA,"Butyryl carnitine (isomer of 920); PlaSMA ID-919","C11H21NO4","LRCNOZRCYBNMEP-UHFFFAOYNA-N",NA,NA,NA,NA,0.435663336795998,0.481500502539978,0.428571428571429,3,232.142388832479,6.90410614451499,"[M+H]+","[M+H]+",188,231.135112377379,14,20,232.1425442873,232.140822072698,232.146347411061,6.90944250000005,6.862283333333,6.982283333333,6.90944250000005,6.862283333333,6.982283333333,2354.35,1015,6040,5890.22679848843,1713.85654544782,13563.352173913,161.75,5,1874,0.14030249999985,0.0462166666669996,0.199433333333001,"2116_(e35)",195,"","",2116,0,5154.87809092932,5590.54450001987,7184.2962631579,8019.74450005451,4588.90628570473,10122.8795000393,5872.75799993938,4640.02950002719,3089.08583999999,13563.352173913,7091.59200000003,9311.18099990208,3539.35958821716,4263.0790000204,5982.60433331901,3763.03999998754,6069.3180000023,4691.46844443309,11263.2029199604,6158.34792306666,4245.69582352943
"3003",6402,2,1.68016666666667,NA,"<memory>","<memory>",TRUE,NA,NA,NA,130.0494,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 100.81; scanNum NA; scanIndex 0; precMz 130.0494; precCharge 1","6402","978","35","130","99097.069328989",2,0,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,130.04987,NA,0,NA,NA,NA,NA,NA,"L-5-Oxoproline; LC-ESI-QTOF; MS2; CE","C5H7NO3","ODHCTXKNWHHXJC-VKHMYHEASA-N",NA,NA,NA,NA,0.44788648764857,0.8110300081103,0.5,1,130.049473903925,1.67544549187108,"[M+H]+ ","[M+H]+ |[M+H]+ +1",278,129.042197448825,21,31,130.049328135252,130.043218113057,130.053209017401,1.66572311827955,1.37975,1.748166666667,1.66572311827955,1.37975,1.748166666667,35288.4193548387,253,76006,99097.069328989,308.642545449197,200546.945116648,130.774193548387,8,324,0.119165053763484,0.038133333333,0.207016666666,"6402_(e35)",130,"","",6402,1390.38099998777,136433.179177149,124563.7005,134322.981,128148.406563182,133608.486375,200546.945116648,110791.022636577,118650.614353529,141807.7808,137086.650134108,131322.643722529,88960.8600005684,119355.086812181,129061.851333333,154957.900778142,133912.473947073,119211.940312184,119860.051,129385.328940855,181628.555764252,176867.956833333
"5274",765,2,2.2285,NA,"<memory>","<memory>",TRUE,NA,NA,NA,150.0583,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 133.71; scanNum NA; scanIndex 0; precMz 150.0583; precCharge 1","765","1186","35","1","166477.340983091",2,0.1164377,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,150.058334350586,NA,0,NA,NA,NA,NA,NA,"L-Methionine; CE30; FFEARJCKVFRZRR-BYPYZUCNSA-N","C5H11NO2S","FFEARJCKVFRZRR-BYPYZUCNSA-N",NA,NA,NA,NA,0.441319838356286,0.545880141574104,0.307692307692308,4,150.057804890397,2.23999047088116,"[M+H]+","[M+H]+",337,149.050528435297,17,27,150.058250870235,150.057597685926,150.063825706902,2.28101111111119,2.2102,2.61825,2.28101111111119,2.2102,2.61825,36574.7037037037,1747,51818,166477.340983091,1274.27999999998,497304.382873515,155.555555555556,9,1746,0.117207407407445,0.0184999999999998,0.331816666667,"765_(e35)",1,"","",765,91.2109999998574,412956.960000836,497304.382873515,137558.485433715,454132.941134352,457833.52845,189941.637749999,159319.987075666,95333.7229996662,72203.3101114728,146960.068999115,174208.242320632,219286.893,147395.94091358,132350.00376,3048.01559998135,150037.580000573,110232.56999965,121151.7615,145013.833000675,114315.46149949,17949.0608667127
"6232",1858,2,7.05566666666667,NA,"<memory>","<memory>",TRUE,NA,NA,NA,205.0971,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 423.34; scanNum NA; scanIndex 0; precMz 205.0971; precCharge 1","1858","1830","35","1","32689.3029178776",2,0.112809483333333,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,205.097152709961,NA,0,NA,NA,NA,NA,NA,"L-Tryptophan; CE30; QIVBCDIJIAJPQS-VIFPVBQESA-N","C11H12N2O2","QIVBCDIJIAJPQS-VIFPVBQESA-N",NA,NA,NA,NA,0.545202840261011,0.622062325662507,0.475,19,205.113064203938,7.04325535716267,"[M+H]+","[M+H]+",397,204.105787748838,20,31,205.11291850571,205.105572608867,205.117487077337,7.0437435483871,6.97205,7.097833333333,7.0437435483871,6.97205,7.097833333333,14757.6129032258,5118,28085,32689.3029178776,5819.75679994899,62025.7748212356,55.5483870967742,8,232,0.140968279569935,0.0381333333329991,0.214116666666,"1858_(e35)",1,"","",1858,368.204500008462,48013.8834502073,18762.7499999999,36356.7268235293,21808.1781051644,62025.7748212356,35241.7435557234,111609.474000081,23183.8268234707,28416.9122857141,8107.28050000004,17932.2827895143,60360.5385002013,46064.6638421053,41199.3093500891,59575.4965001172,39140.4156001684,15074.451333191,61545.7923998664,50067.4938997829,33684.0420001524,58800.49065
"6364",1640,2,6.51266666666667,NA,"<memory>","<memory>",TRUE,NA,NA,NA,177.1023,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 390.76; scanNum NA; scanIndex 0; precMz 177.1023; precCharge 1","1640","1492","35","1","8771.20375220348",2,0,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,177.102239,NA,0,NA,NA,NA,NA,NA,"Serotonin; LC-ESI-QTOF; MS2; CE","C10H12N2O","QZAYGJVTTNCVMB-UHFFFAOYSA-N",NA,NA,NA,NA,0.405763520745564,0.650456264076539,0.387096774193548,12,177.116033456928,6.49649586504347,"[M+H]+","[M+H]+",406,176.108757001828,21,45,177.11593458619,177.108641486337,177.12042201935,6.50215407407411,6.447566666667,6.581216666667,6.50215407407411,6.447566666667,6.581216666667,4242.48888888889,576,11052,8771.20375220348,931.73383334033,17921.5223684211,285.244444444444,9,4714,0.111355925925911,0.0387,0.155616666667,"1640_(e35)",1,"","",1640,366.26999999705,9132.76314288533,15278.5228235295,16474.2028000353,16947.8922940747,8372.20049999993,7770.57527779631,7283.4769090909,12173.6705293809,7760.17000001944,5450.84475000001,12570.2389999999,14482.8733333333,14033.4126666258,14439.4743333851,6051.01552941178,7107.4247222559,13412.68125,9298.76929409413,11160.6103571086,13522.5092307693,17921.5223684211
"6553",1745,2,9.7305,NA,"<memory>","<memory>",TRUE,NA,NA,NA,190.0864,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 583.83; scanNum NA; scanIndex 0; precMz 190.0864; precCharge 1","1745","1651","35","1","134567.147885024",2,0,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,190.08625505017,NA,0,NA,NA,NA,NA,NA,"3-Indolepropionic acid","C11H11NO2","GOLXRNDWAUTYKT-UHFFFAOYSA-N",NA,NA,NA,NA,0.45577657517956,0.649350649350649,0.571428571428571,4,190.085742946337,9.7623859457068,"[M+2H]2+ ","[M+H]+|[M+2H]2+ |[M+2H]2+ +1|[M+2H]2+ +2|[2M+H]+",418,94.0355950180685,14,19,190.085407051353,190.078101562762,190.08914732729,9.78104912280705,9.751616666667,9.84965,9.78104912280705,9.751616666667,9.84965,39153.2105263158,704,127027,134567.147885024,745.593399986852,409522.248450001,442.052631578947,11,1297,0.126486842105211,0.0378166666659998,0.172633333333001,"1745_(e35)",1,"","",1745,0,106252.814347621,105223.78809501,114860.0145,111427.763999999,114376.833158156,321135.70675139,137611.320000002,640.582999992243,150.983999996766,270.310000005964,287.97050000634,0,745.593399986852,214689.885599066,156491.384727273,409522.248450001,287459.191427979,213763.538799536,247734.240001122,529.27199999115,161.164000003453
"6561",1748,2,9.79216666666667,NA,"<memory>","<memory>",TRUE,NA,NA,NA,190.0862,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 587.53; scanNum NA; scanIndex 0; precMz 190.0862; precCharge 1","1748","1654","35","1","7978.53852830203",2,0,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,190.08625505017,NA,0,NA,NA,NA,NA,NA,"3-Indolepropionic acid","C11H11NO2","GOLXRNDWAUTYKT-UHFFFAOYSA-N",NA,NA,NA,NA,0.564816453479834,0.649350649350649,0.428571428571429,3,190.099572019469,9.766108945291,"[M+H]+","[M+H]+",418,189.092295564369,11,17,190.099746254537,190.09495084837,190.102313288289,9.76656764705888,9.75465,9.787166666667,9.76656764705888,9.75465,9.787166666667,3606.52941176471,1707,5754,7978.53852830203,4192.45961538461,15542.6560000396,825.117647058824,4,5753,0.118380392156941,0.0772166666670008,0.153233333332999,"1748_(e35)",1,"","",1748,0,9585.76550010405,5405.68743749996,6307.32741179676,6355.1418666848,4192.45961538461,12231.6837778072,12493.2774999412,0,156.570000000007,232.067999995023,154.344000006531,0,488.242999999959,8598.45214285715,9120.35611767018,9862.44749999999,12782.8383157604,15542.6560000396,8064.50579999996,461.200000019977,160.834499999997
"6605",1883,2,8.26916666666667,NA,"<memory>","<memory>",TRUE,NA,NA,NA,208.0965,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 496.15; scanNum NA; scanIndex 0; precMz 208.0965; precCharge 1","1883","1861","35","1","24189.5131746652",2,0,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,208.09681973517,NA,0,NA,NA,NA,NA,NA,"N-Acetylphenylalanine","C11H13NO3","CBQJSKKFNMDLON-UHFFFAOYNA-N",NA,NA,NA,NA,0.540094088252809,0.811677871895712,0.6,3,208.096616746215,8.36088587563429,"[M+H]+","[M+H-H2O]+|[M+H]+",423,207.089340291115,21,46,208.097258787488,208.093049349569,208.103766637979,8.34740362318839,8.236666666667,8.507816666667,8.34740362318839,8.236666666667,8.507816666667,8021.52173913044,934,25007,24189.5131746652,1067.62379999997,70252.8762498497,266.847826086957,6,11248,0.136510507246304,0.0399499999999989,0.185750000000001,"1883_(e35)",1,"","",1883,0,27038.6628420439,27045.0609000001,26796.1679524361,23202.2761904285,22206.6189,65908.1205260194,28067.0791499998,19236.8626666092,17581.9402352491,17378.669444486,20907.3402351872,36391.8821053469,11827.0980952127,24891.8400001033,20020.0632380533,60936.7424443007,37276.9647367572,36704.0718000005,64465.7593685652,35833.8919499999,70252.8762498497
"6865",1744,2,10.5256666666667,NA,"<memory>","<memory>",TRUE,NA,NA,NA,190.0861,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 631.54; scanNum NA; scanIndex 0; precMz 190.0861; precCharge 1","1744","1650","35","85","9297.41867608774",2,0,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,190.08625505017,NA,0,NA,NA,NA,NA,NA,"3-Indolepropionic acid","C11H11NO2","GOLXRNDWAUTYKT-UHFFFAOYSA-N",NA,NA,NA,NA,0.484025925257619,0.649350649350649,0.285714285714286,2,190.08491416805,10.539106565502,"[M+2H]2+ ","[M+2H]2+ |[M+2H]2+ +1|[M+CH3COONa+Na]+",442,94.035180628925,18,22,190.084222457466,190.078485196398,190.085797593104,10.5416893939395,10.525166666667,10.577666666667,10.5416893939395,10.525166666667,10.577666666667,4036.72727272727,1064,14344,9297.41867608774,1614.15750000867,30795.3290556297,432,5,3185,0.110344696969773,0.0540000000000002,0.154766666666999,"1744_(e35)",85,"","",1744,0,11457.1364444987,12083.5886110823,7635.02258821627,7470.51899992116,17052.6828749999,15174.8330556287,11163.5855000075,7407.8840768748,1614.15750000867,5707.35657144608,8435.66399997409,5752.31399999998,7916.61899999995,14306.9402000307,30795.3290556297,3762.1800000108,2423.49327272722,10281.6655000318,7414.44000002651,8243.34576920355,15199.429466579
"7207",5488,2,9.2905,NA,"<memory>","<memory>",TRUE,NA,NA,NA,516.299,NA,1,NA,NA,NA,NA,"msLevel 2; retentionTime 557.43; scanNum NA; scanIndex 0; precMz 516.299; precCharge 1","5488","8120","35","1","594842.501897628",2,0,NA,NA,"<memory>","<memory>",TRUE,NA,NA,NA,516.29895,NA,0,NA,NA,NA,NA,NA,"Taurocholate; LC-ESI-QTOF; MS2; CE","C26H45NO7S","WBWWGRHZICKQGZ-XWWYUOLUSA-N",NA,NA,NA,NA,0.590135698613636,0.881867284934779,0.75,6,516.29799324042,9.29446274627619,"[M+H]+ ","[M+H-H2O]+ |[M+H-H2O]+ +1|[M+H-H2O]+ +2|[M+H]+ |[M+H]+ +1|[M+H]+ +2|[M+H]+ +3|[M+NH4]+ |[M+NH4]+ +1|[M+NH4]+ +2|[M+Na]+|[M+K]+",470,515.29071678532,21,25,516.299101044631,516.295962276943,516.303879492357,9.302836,9.283166666667,9.333316666667,9.302836,9.283166666667,9.333316666667,144241.16,3178,958618,594842.501897628,14437.3386774192,4378184.19421864,306.6,8,1756,0.19045666666664,0.132733333332999,0.340216666667,"5488_(e35)",1,"","",5488,678.213000000455,800285.391428575,907508.19876923,810073.885090905,937259.507872962,899092.190319963,39746.9818182625,50627.8500000003,3238169.37181181,109742.8749998,84429.5887827714,78480.7161599999,4378184.19421864,26169.4090369711,89939.4612859654,1886078.34659306,166548.306133497,45531.7731303403,39997.534347907,45905.5636365465,33660.8933213613,90527.7521426404
